id,symbol,date,monthly_open,monthly_high,monthly_low,monthly_volume
19785,IBM,2008-11-28,92.64,94.76,69.5,218313000
19786,IBM,2008-10-31,115.51,116.8,78.82,314972000
19787,IBM,2008-09-30,122.87,124.0,109.95,218411700
19788,IBM,2008-08-29,128.52,129.97,121.5,137028800
19789,IBM,2008-07-31,117.5,130.93,116.6,200876500
19790,IBM,2008-06-30,128.67,129.37,118.15,152327500
19791,IBM,2008-05-30,121.06,129.99,120.78,159517500
19792,IBM,2008-04-30,115.14,125.0,113.86,192087200
19793,IBM,2008-03-31,114.09,119.79,111.8,179284200
19794,IBM,2008-02-29,107.21,116.63,100.6,168280800
19795,IBM,2008-01-31,108.99,108.99,97.04,247523900
19796,IBM,2007-12-31,105.45,112.19,104.0,134151600
19797,IBM,2007-11-30,115.5,116.09,99.27,200920600
19798,IBM,2007-10-31,117.61,121.46,110.96,171669000
19799,IBM,2007-09-28,116.34,118.89,114.3,132233800
19800,IBM,2007-08-31,110.39,117.35,103.7,202871500
19801,IBM,2007-07-31,105.39,118.82,104.58,212757600
19802,IBM,2007-06-29,106.62,107.24,101.56,169602000
19803,IBM,2007-05-31,102.06,108.05,101.35,146441400
19804,IBM,2007-04-30,94.51,103.0,93.911,166807200
19805,IBM,2007-03-30,90.25,95.81,88.77,163194500
19806,IBM,2007-02-28,98.97,100.44,92.47,125776200
19807,IBM,2007-01-31,97.17,100.9,94.55,192702000
19808,IBM,2006-12-29,91.9,97.88,90.55,104470200
19809,IBM,2006-11-30,92.5,94.05,90.43,104430000
19810,IBM,2006-10-31,81.76,92.68,81.56,170367300
19811,IBM,2006-09-29,81.13,83.79,79.31,102776100
19812,IBM,2006-08-31,76.86,81.68,74.9,100880300
19813,IBM,2006-07-31,77.54,78.53,72.73,137188300
19814,IBM,2006-06-30,79.89,80.87,76.06,139457800
19815,IBM,2006-05-31,82.59,83.69,79.0,113146500
19816,IBM,2006-04-28,82.72,84.45,80.63,114007000
19817,IBM,2006-03-31,80.01,84.99,79.51,111514900
19818,IBM,2006-02-28,80.9,82.24,78.93,111052200
19819,IBM,2006-01-31,82.45,85.03,80.21,146491600
19820,IBM,2005-12-30,89.15,89.92,81.56,120052400
19821,IBM,2005-11-30,81.85,89.94,80.64,110664500
19822,IBM,2005-10-31,80.22,84.6,78.7,139881800
19823,IBM,2005-09-30,80.16,82.11,76.93,115681400
19824,IBM,2005-08-31,83.0,84.2,79.87,105031100
19825,IBM,2005-07-29,74.3,85.11,74.16,156801500
19826,IBM,2005-06-30,75.57,77.73,73.45,135542800
19827,IBM,2005-05-31,76.88,78.11,72.5,138416000
19828,IBM,2005-04-29,91.49,91.76,71.85,216745500
19829,IBM,2005-03-31,92.64,93.73,89.09,106145200
19830,IBM,2005-02-28,93.67,94.97,91.55,79707700
19831,IBM,2005-01-31,98.97,99.1,91.44,114459000
19832,IBM,2004-12-31,94.5,99.0,94.47,108170400
19833,IBM,2004-11-30,89.33,96.63,89.23,114982100
19834,IBM,2004-10-29,85.95,90.27,84.29,118116100
19835,IBM,2004-09-30,84.05,87.28,83.24,93906300
19836,IBM,2004-08-31,86.87,87.39,81.9,91169700
19837,IBM,2004-07-30,88.28,88.44,83.42,121001000
19838,IBM,2004-06-30,88.09,91.21,87.3,91968600
19839,IBM,2004-05-28,88.13,89.75,85.12,104707300
19840,IBM,2004-04-30,91.67,94.55,88.01,110632000
19841,IBM,2004-03-31,96.5,97.6,90.28,124483700
19842,IBM,2004-02-27,99.15,100.43,95.2,97741900
19843,IBM,2004-01-30,92.86,99.85,89.01,139368500
19844,IBM,2003-12-31,90.9,94.12,90.03,116103600
19845,IBM,2003-11-28,89.9,91.48,87.72,97966100
19846,IBM,2003-10-31,88.75,94.54,87.53,156145400
19847,IBM,2003-09-30,82.4,93.47,82.3,171943100
19848,IBM,2003-08-29,81.15,84.72,78.73,113895200
19849,IBM,2003-07-31,81.4,87.03,80.58,153915600
19850,IBM,2003-06-30,89.0,89.08,79.81,184488300
19851,IBM,2003-05-30,85.3,90.4,84.45,149548000
19852,IBM,2003-04-30,78.5,86.49,78.12,177874300
19853,IBM,2003-03-31,78.9,84.9,73.17,191937200
19854,IBM,2003-02-28,78.2,80.05,74.31,145672700
19855,IBM,2003-01-31,78.8,88.95,77.02,193933500
19856,IBM,2002-12-31,88.6,89.46,75.6,151563500
19857,IBM,2002-11-29,78.9,88.11,76.7,184438100
19858,IBM,2002-10-31,59.2,79.79,54.01,285626300
19859,IBM,2002-09-30,74.2,77.5,57.99,185664400
19860,IBM,2002-08-30,70.4,82.85,65.85,166322300
19861,IBM,2002-07-31,72.01,74.2,65.7,246256900
19862,IBM,2002-06-28,80.75,80.95,66.1,190980700
19863,IBM,2002-05-31,83.85,86.49,75.92,172738400
19864,IBM,2002-04-30,104.0,104.0,83.34,246503300
19865,IBM,2002-03-28,98.6,108.85,98.5,151268500
19866,IBM,2002-02-28,107.64,109.3,95.76,172321000
19867,IBM,2002-01-31,120.6,126.39,101.0,193562900
19868,IBM,2001-12-31,114.8,124.7,113.21,133393800
19869,IBM,2001-11-30,107.25,117.0,106.9,135136300
19870,IBM,2001-10-31,91.72,112.1,91.34,224351500
19871,IBM,2001-09-28,100.15,103.13,87.49,189312500
19872,IBM,2001-08-31,105.35,110.09,98.86,143401500
19873,IBM,2001-07-31,113.5,115.4,101.56,161016400
19874,IBM,2001-06-29,112.5,119.0,111.1,142929700
19875,IBM,2001-05-31,115.85,119.9,110.96,159356200
19876,IBM,2001-04-30,97.45,118.05,90.05,226210900
19877,IBM,2001-03-30,99.3,108.4,87.65,254550000
19878,IBM,2001-02-28,112.4,118.64,99.1,156438900
19879,IBM,2001-01-31,84.5,116.75,83.75,198962600
19880,IBM,2000-12-29,94.44,104.75,80.06,167790700
19881,IBM,2000-11-30,98.44,104.37,91.62,130411900
19882,IBM,2000-10-31,112.62,119.62,86.94,223510000
19883,IBM,2000-09-29,133.06,134.94,110.25,107468400
19884,IBM,2000-08-31,112.0,134.25,110.25,121998000
19885,IBM,2000-07-31,108.75,117.81,100.0,150130400
19886,IBM,2000-06-30,107.56,122.31,105.5,136216300
19887,IBM,2000-05-31,112.5,113.62,102.0,123803200
19888,IBM,2000-04-28,120.0,128.0,101.25,168464800
19889,IBM,2000-03-31,102.0,128.25,99.5,194329000
19890,IBM,2000-02-29,112.37,119.75,100.94,133524400
19891,IBM,2000-01-31,112.44,124.75,109.62,175259600
19892,IBM,1999-12-31,102.56,122.12,102.25,158626300
19893,MSFT,2023-07-11,339.19,342.99,327.0,139581095
19894,MSFT,2023-06-30,325.93,351.47,322.5,547748450
19895,MSFT,2023-05-31,306.97,335.94,303.4,600453246
19896,MSFT,2023-04-28,286.52,308.93,275.37,551356990
19897,MSFT,2023-03-31,250.76,289.27,245.61,747751976
19898,MSFT,2023-02-28,248.0,276.76,245.47,615540778
19899,MSFT,2023-01-31,243.08,249.83,219.35,666168068
19900,MSFT,2022-12-30,253.87,263.915,233.87,591366468
19901,MSFT,2022-11-30,234.6,255.33,213.431,615328220
19902,MSFT,2022-10-31,235.41,251.04,219.13,671366804
